[scope.glitch.width,scope.glitch.offset,scope.glitch.repeat,scope.glitch.ext_offset,good/bad/crash]
-8.984375,-38.28125,3,56097733,bad
-8.984375,-38.28125,3,3128532,bad
-8.984375,-38.28125,3,139939938,good
-8.984375,-38.28125,3,197566246,good
-8.984375,-38.28125,3,9711040,good
-8.984375,-38.28125,3,42416216,good
-8.984375,-38.28125,3,64142647,good
-8.984375,-38.28125,3,4531367,good
-8.984375,-38.28125,3,14750048,good
-8.984375,-38.28125,3,216056816,good
-8.984375,-38.28125,3,182898677,good
-8.984375,-38.28125,3,39526678,good
-8.984375,-38.28125,3,186502852,good
-8.984375,-38.28125,3,98594338,good
-8.984375,-38.28125,3,64348055,good
-8.984375,-38.28125,3,31441800,bad
-8.984375,-38.28125,3,90752057,bad
-8.984375,-38.28125,3,125179446,good
-8.984375,-38.28125,3,190104469,bad
-8.984375,-38.28125,3,95493043,good
-8.984375,-38.28125,3,75318073,good
-8.984375,-38.28125,3,105300694,good
-8.984375,-38.28125,3,70682883,good
-8.984375,-38.28125,3,92433049,good
-8.984375,-38.28125,3,61366954,good
-8.984375,-38.28125,3,55396172,bad
-8.984375,-38.28125,3,95339672,good
-8.984375,-38.28125,3,214108412,bad
-8.984375,-38.28125,3,84119833,good
-8.984375,-38.28125,3,59966121,good
-8.984375,-38.28125,3,82044205,good
-8.984375,-38.28125,3,195051462,bad
-8.984375,-38.28125,3,137269825,bad
-8.984375,-38.28125,3,112868327,bad
-8.984375,-38.28125,3,62112170,good
-8.984375,-38.28125,3,154927402,good
-8.984375,-38.28125,3,122282231,good
-8.984375,-38.28125,3,112709424,good
-8.984375,-38.28125,3,131431737,good
-8.984375,-38.28125,3,21195473,good
-8.984375,-38.28125,3,123777428,good
-8.984375,-38.28125,3,151583243,bad
-8.984375,-38.28125,3,214490431,good
-8.984375,-38.28125,3,96627221,good
-8.984375,-38.28125,3,117924353,bad
-8.984375,-38.28125,3,152905052,good
-8.984375,-38.28125,3,84598804,good
-8.984375,-38.28125,3,186301125,bad
-8.984375,-38.28125,3,173294212,good
-8.984375,-38.28125,3,120953861,good
-8.984375,-38.28125,3,108743316,good
-8.984375,-38.28125,3,208544492,good
-8.984375,-38.28125,3,217332118,good
-8.984375,-38.28125,3,17673523,good
-8.984375,-38.28125,3,131602233,bad
-8.984375,-38.28125,3,5033178,good
-8.984375,-38.28125,3,52535663,good
-8.984375,-38.28125,3,37666358,good
-8.984375,-38.28125,3,143327755,good
-8.984375,-38.28125,3,46223110,good
-8.984375,-38.28125,3,164832354,bad
-8.984375,-38.28125,3,210714857,good
-8.984375,-38.28125,3,185350642,bad
-8.984375,-38.28125,3,193027196,bad
-8.984375,-38.28125,3,4665736,good
-8.984375,-38.28125,3,76938203,good
-8.984375,-38.28125,3,142266943,good
-8.984375,-38.28125,3,132871544,bad
-8.984375,-38.28125,3,40718894,good
-8.984375,-38.28125,3,26810162,good
-8.984375,-38.28125,3,31198045,good
-8.984375,-38.28125,3,106132231,good
-8.984375,-38.28125,3,12728181,bad
-8.984375,-38.28125,3,19753725,good
-8.984375,-38.28125,3,125805387,good
-8.984375,-38.28125,3,194764704,bad
-8.984375,-38.28125,3,148979123,bad
-8.984375,-38.28125,3,79408980,good
-8.984375,-38.28125,3,107765915,good
-8.984375,-38.28125,3,134769780,good
-8.984375,-38.28125,3,62375945,good
-8.984375,-38.28125,3,48106710,good
-8.984375,-38.28125,3,145946478,bad
-8.984375,-38.28125,3,134236858,good
-8.984375,-38.28125,3,94972842,bad
-8.984375,-38.28125,3,21021173,bad
-8.984375,-38.28125,3,63152108,good
-8.984375,-38.28125,3,83246095,good
-8.984375,-38.28125,3,83545966,good
-8.984375,-38.28125,3,44169851,good
-8.984375,-38.28125,3,221441188,good
-8.984375,-38.28125,3,168082199,good
-8.984375,-38.28125,3,85434298,good
-8.984375,-38.28125,3,103855451,good
-8.984375,-38.28125,3,127921980,good
-8.984375,-38.28125,3,90241943,good
-8.984375,-38.28125,3,118527273,bad
-8.984375,-38.28125,3,209870644,good
-8.984375,-38.28125,3,19918166,good
-8.984375,-38.28125,3,203268131,bad
-8.984375,-38.28125,3,213715281,good
-8.984375,-38.28125,3,73134560,good
-8.984375,-38.28125,3,127358345,good
-8.984375,-38.28125,3,38158010,bad
-8.984375,-38.28125,3,30977604,good
-8.984375,-38.28125,3,181567453,good
-8.984375,-38.28125,3,132199906,good
-8.984375,-38.28125,3,104632656,bad
-8.984375,-38.28125,3,100971541,bad
-8.984375,-38.28125,3,4133587,good
-8.984375,-38.28125,3,69800175,good
-8.984375,-38.28125,3,198939174,good
-8.984375,-38.28125,3,24787828,good
-8.984375,-38.28125,3,77097925,good
-8.984375,-38.28125,3,17236380,good
-8.984375,-38.28125,3,11107546,good
-8.984375,-38.28125,3,120977348,good
-8.984375,-38.28125,3,15948022,good
-8.984375,-38.28125,3,68466020,good
-8.984375,-38.28125,3,42513436,good
-8.984375,-38.28125,3,220865268,good
-8.984375,-38.28125,3,134197975,bad
-8.984375,-38.28125,3,151670320,good
-8.984375,-38.28125,3,129109607,bad
-8.984375,-38.28125,3,133800071,good
-8.984375,-38.28125,3,11555836,bad
-8.984375,-38.28125,3,134300782,good
-8.984375,-38.28125,3,16564221,good
-8.984375,-38.28125,3,127362825,bad
-8.984375,-38.28125,3,21937260,bad
-8.984375,-38.28125,3,152895720,good
-8.984375,-38.28125,3,124094729,good
-8.984375,-38.28125,3,62216844,good
-8.984375,-38.28125,3,208775386,bad
-8.984375,-38.28125,3,202695266,good
-8.984375,-38.28125,3,159273619,good
-8.984375,-38.28125,3,120559398,good
-8.984375,-38.28125,3,185872066,good
-8.984375,-38.28125,3,193518743,bad
-8.984375,-38.28125,3,68618823,good
-8.984375,-38.28125,3,182068826,good
-8.984375,-38.28125,3,22798304,good
-8.984375,-38.28125,3,163961315,good
-8.984375,-38.28125,3,2395838,good
-8.984375,-38.28125,3,15142295,good
-8.984375,-38.28125,3,89417324,good
-8.984375,-38.28125,3,202321805,good
-8.984375,-38.28125,3,174080411,good
-8.984375,-38.28125,3,101948799,good
-8.984375,-38.28125,3,116399936,good
-8.984375,-38.28125,3,93235141,good
-8.984375,-38.28125,3,15022771,good
-8.984375,-38.28125,3,166042024,good
-8.984375,-38.28125,3,189300920,good
-8.984375,-38.28125,3,81156408,good
-8.984375,-38.28125,3,159841072,good
-8.984375,-38.28125,3,119623760,good
-8.984375,-38.28125,3,83681608,good
-8.984375,-38.28125,3,147227545,good
-8.984375,-38.28125,3,220584817,good
-8.984375,-38.28125,3,8292110,good
-8.984375,-38.28125,3,214937339,good
-8.984375,-38.28125,3,115696709,bad
-8.984375,-38.28125,3,103378109,good
-8.984375,-38.28125,3,4036711,good
-8.984375,-38.28125,3,179627484,good
-8.984375,-38.28125,3,93438480,bad
-8.984375,-38.28125,3,165478313,good
-8.984375,-38.28125,3,104272428,good
-8.984375,-38.28125,3,139073399,bad
-8.984375,-38.28125,3,756741,good
-8.984375,-38.28125,3,38623984,good
-8.984375,-38.28125,3,67377898,bad
-8.984375,-38.28125,3,66956616,good
-8.984375,-38.28125,3,133953218,bad
-8.984375,-38.28125,3,137592871,good
-8.984375,-38.28125,3,88853208,good
-8.984375,-38.28125,3,87208356,good
-8.984375,-38.28125,3,65453547,good
-8.984375,-38.28125,3,183719939,bad
-8.984375,-38.28125,3,157543957,good
-8.984375,-38.28125,3,84507854,good
-8.984375,-38.28125,3,132051503,good
-8.984375,-38.28125,3,85551344,good
-8.984375,-38.28125,3,682740,good
-8.984375,-38.28125,3,162366019,bad
-8.984375,-38.28125,3,95392368,good
-8.984375,-38.28125,3,188462996,good
-8.984375,-38.28125,3,60426291,bad
-8.984375,-38.28125,3,91277648,bad
-8.984375,-38.28125,3,15853806,good
-8.984375,-38.28125,3,46230521,good
-8.984375,-38.28125,3,172177959,good
-8.984375,-38.28125,3,135708302,good
-8.984375,-38.28125,3,195651990,bad
-8.984375,-38.28125,3,29063893,good
-8.984375,-38.28125,3,194286282,good
-8.984375,-38.28125,3,154582097,good
-8.984375,-38.28125,3,107139579,good
-8.984375,-38.28125,3,89874562,good
-8.984375,-38.28125,3,34562440,good
-8.984375,-38.28125,3,90097710,bad
-8.984375,-38.28125,3,26360723,good
-8.984375,-38.28125,3,84597397,good
-8.984375,-38.28125,3,92235758,good
-8.984375,-38.28125,3,123051079,good
-8.984375,-38.28125,3,198034049,bad
-8.984375,-38.28125,3,164738132,good
-8.984375,-38.28125,3,147038866,good
-8.984375,-38.28125,3,165750678,good
-8.984375,-38.28125,3,129979491,good
-8.984375,-38.28125,3,153528114,bad
-8.984375,-38.28125,3,32619103,bad
-8.984375,-38.28125,3,105745764,bad
-8.984375,-38.28125,3,211563488,good
-8.984375,-38.28125,3,155984479,good
-8.984375,-38.28125,3,1229483,good
-8.984375,-38.28125,3,26908751,good
-8.984375,-38.28125,3,210170426,good
-8.984375,-38.28125,3,41736055,good
-8.984375,-38.28125,3,190143031,good
-8.984375,-38.28125,3,176009593,good
-8.984375,-38.28125,3,123998336,good
-8.984375,-38.28125,3,42894872,good
-8.984375,-38.28125,3,176027180,good
-8.984375,-38.28125,3,52603785,good
-8.984375,-38.28125,3,155376495,good
-8.984375,-38.28125,3,146126052,good
-8.984375,-38.28125,3,147644853,good
-8.984375,-38.28125,3,165683804,good
-8.984375,-38.28125,3,201706255,good
-8.984375,-38.28125,3,86487734,bad
-8.984375,-38.28125,3,98993966,good
-8.984375,-38.28125,3,108912574,bad
-8.984375,-38.28125,3,62691304,bad
-8.984375,-38.28125,3,149543779,good
-8.984375,-38.28125,3,173551058,good
-8.984375,-38.28125,3,139680559,good
-8.984375,-38.28125,3,168764465,good
-8.984375,-38.28125,3,31203106,good
-8.984375,-38.28125,3,142292595,good
-8.984375,-38.28125,3,194215315,good
-8.984375,-38.28125,3,125326611,good
-8.984375,-38.28125,3,157617883,bad
-8.984375,-38.28125,3,41998120,good
-8.984375,-38.28125,3,189936362,good
-8.984375,-38.28125,3,184022294,good
-8.984375,-38.28125,3,208977892,good
-8.984375,-38.28125,3,90934992,good
-8.984375,-38.28125,3,123355619,good
-8.984375,-38.28125,3,162268753,good
-8.984375,-38.28125,3,152110465,good
-8.984375,-38.28125,3,177755713,good
-8.984375,-38.28125,3,109476288,good
-8.984375,-38.28125,3,7667951,good
-8.984375,-38.28125,3,73127124,good
-8.984375,-38.28125,3,90471733,good
-8.984375,-38.28125,3,34874685,good
-8.984375,-38.28125,3,203970917,bad
-8.984375,-38.28125,3,73284818,good
-8.984375,-38.28125,3,95866659,good
-8.984375,-38.28125,3,50122482,good
-8.984375,-38.28125,3,16219624,good
-8.984375,-38.28125,3,125091813,good
-8.984375,-38.28125,3,187151914,good
-8.984375,-38.28125,3,156637939,good
-8.984375,-38.28125,3,210427901,good
-8.984375,-38.28125,3,57086210,bad
-8.984375,-38.28125,3,26646603,good
-8.984375,-38.28125,3,18038070,good
-8.984375,-38.28125,3,173440548,good
-8.984375,-38.28125,3,67621976,good
-8.984375,-38.28125,3,55072882,good
-8.984375,-38.28125,3,199978533,good
-8.984375,-38.28125,3,181717354,good
-8.984375,-38.28125,3,18994345,bad
-8.984375,-38.28125,3,213190945,bad
-8.984375,-38.28125,3,193671192,good
-8.984375,-38.28125,3,119205878,good
-8.984375,-38.28125,3,143696184,good
-8.984375,-38.28125,3,43302103,good
-8.984375,-38.28125,3,61556839,good
-8.984375,-38.28125,3,86466730,good
-8.984375,-38.28125,3,42158826,good
-8.984375,-38.28125,3,164751610,good
-8.984375,-38.28125,3,14950913,good
-8.984375,-38.28125,3,98867594,good
-8.984375,-38.28125,3,112204440,good
-8.984375,-38.28125,3,60683140,good
-8.984375,-38.28125,3,112715085,good
-8.984375,-38.28125,3,198571758,good
-8.984375,-38.28125,3,45671256,good
-8.984375,-38.28125,3,99934865,good
-8.984375,-38.28125,3,201362683,good
-8.984375,-38.28125,3,152831248,good
-8.984375,-38.28125,3,39366061,good
-8.984375,-38.28125,3,134562280,good
-8.984375,-38.28125,3,46530127,good
-8.984375,-38.28125,3,128531009,good
-8.984375,-38.28125,3,127052444,bad
-8.984375,-38.28125,3,125697153,bad
-8.984375,-38.28125,3,125558138,bad
-8.984375,-38.28125,3,160074042,good
-8.984375,-38.28125,3,45924218,good
-8.984375,-38.28125,3,116083153,good
-8.984375,-38.28125,3,18358796,good
-8.984375,-38.28125,3,113567451,good
-8.984375,-38.28125,3,73556943,good
-8.984375,-38.28125,3,118601915,good
-8.984375,-38.28125,3,199147714,good
-8.984375,-38.28125,3,66323397,good
-8.984375,-38.28125,3,178536110,good
-8.984375,-38.28125,3,6392354,good
-8.984375,-38.28125,3,121311340,good
-8.984375,-38.28125,3,89252651,bad
-8.984375,-38.28125,3,108641156,bad
-8.984375,-38.28125,3,175007813,good
-8.984375,-38.28125,3,45383769,bad
-8.984375,-38.28125,3,9148883,bad
-8.984375,-38.28125,3,179585448,bad
-8.984375,-38.28125,3,156780942,good
-8.984375,-38.28125,3,1010104,bad
-8.984375,-38.28125,3,164281901,good
-8.984375,-38.28125,3,181886080,good
-8.984375,-38.28125,3,123352219,good
-8.984375,-38.28125,3,119454108,bad
-8.984375,-38.28125,3,8185167,good
-8.984375,-38.28125,3,90183357,good
-8.984375,-38.28125,3,121075786,good
-8.984375,-38.28125,3,124524774,good
-8.984375,-38.28125,3,160149333,bad
-8.984375,-38.28125,3,211738614,bad
-8.984375,-38.28125,3,70299897,good
-8.984375,-38.28125,3,104785193,good
-8.984375,-38.28125,3,121982325,good
-8.984375,-38.28125,3,216289169,good
-8.984375,-38.28125,3,118659777,bad
-8.984375,-38.28125,3,108772476,good
-8.984375,-38.28125,3,186988323,bad
-8.984375,-38.28125,3,170546734,good
-8.984375,-38.28125,3,134765655,good
-8.984375,-38.28125,3,203675028,good
-8.984375,-38.28125,3,33473064,good
-8.984375,-38.28125,3,44579043,good
-8.984375,-38.28125,3,179561048,good
-8.984375,-38.28125,3,84034338,good
-8.984375,-38.28125,3,120827210,good
-8.984375,-38.28125,3,128720318,good
-8.984375,-38.28125,3,88688488,good
-8.984375,-38.28125,3,190541253,good
-8.984375,-38.28125,3,153313582,good
-8.984375,-38.28125,3,125750121,good
-8.984375,-38.28125,3,139552068,good
-8.984375,-38.28125,3,22737618,good
-8.984375,-38.28125,3,57337159,good
-8.984375,-38.28125,3,59064990,bad
-8.984375,-38.28125,3,45616120,good
-8.984375,-38.28125,3,204157169,good
-8.984375,-38.28125,3,148051221,bad
-8.984375,-38.28125,3,135810895,good
-8.984375,-38.28125,3,107185772,good
-8.984375,-38.28125,3,176806366,bad
-8.984375,-38.28125,3,29218376,bad
-8.984375,-38.28125,3,186672498,good
-8.984375,-38.28125,3,107098356,good
-8.984375,-38.28125,3,183166764,good
-8.984375,-38.28125,3,88980582,good
-8.984375,-38.28125,3,86807359,good
-8.984375,-38.28125,3,120738589,good
-8.984375,-38.28125,3,68201544,bad
-8.984375,-38.28125,3,47225178,good
-8.984375,-38.28125,3,72747380,good
-8.984375,-38.28125,3,111149580,good
-8.984375,-38.28125,3,32347450,good
-8.984375,-38.28125,3,81599144,good
-8.984375,-38.28125,3,185065872,good
-8.984375,-38.28125,3,184773482,good
-8.984375,-38.28125,3,58916333,good
-8.984375,-38.28125,3,72458294,good
-8.984375,-38.28125,3,43895246,good
-8.984375,-38.28125,3,154389045,good
-8.984375,-38.28125,3,69816973,good
-8.984375,-38.28125,3,77954847,good
-8.984375,-38.28125,3,40765357,good
-8.984375,-38.28125,3,120582171,bad
-8.984375,-38.28125,3,177177637,bad
-8.984375,-38.28125,3,137093888,bad
-8.984375,-38.28125,3,64542916,bad
-8.984375,-38.28125,3,40093696,good
-8.984375,-38.28125,3,129267700,good
-8.984375,-38.28125,3,139022228,good
-8.984375,-38.28125,3,32323323,good
-8.984375,-38.28125,3,175858196,good
-8.984375,-38.28125,3,65019390,good
-8.984375,-38.28125,3,212694534,bad
-8.984375,-38.28125,3,58150456,good
-8.984375,-38.28125,3,106037615,good
-8.984375,-38.28125,3,114996985,good
-8.984375,-38.28125,3,59278742,good
-8.984375,-38.28125,3,165093415,bad
-8.984375,-38.28125,3,76975668,bad
-8.984375,-38.28125,3,218467349,good
-8.984375,-38.28125,3,109397397,good
-8.984375,-38.28125,3,188131134,good
-8.984375,-38.28125,3,173235515,bad
-8.984375,-38.28125,3,126096097,good
-8.984375,-38.28125,3,174265218,good
-8.984375,-38.28125,3,168484517,bad
-8.984375,-38.28125,3,181535334,good
-8.984375,-38.28125,3,108096093,good
-8.984375,-38.28125,3,199377373,bad
-8.984375,-38.28125,3,217474651,good
-8.984375,-38.28125,3,126258351,good
-8.984375,-38.28125,3,207687481,bad
-8.984375,-38.28125,3,60609439,good
-8.984375,-38.28125,3,86322480,good
-8.984375,-38.28125,3,215691702,good
-8.984375,-38.28125,3,102279870,good
-8.984375,-38.28125,3,94705748,good
-8.984375,-38.28125,3,91963432,good
-8.984375,-38.28125,3,101522276,good
-8.984375,-38.28125,3,88222090,bad
-8.984375,-38.28125,3,178428873,good
-8.984375,-38.28125,3,89755987,bad
-8.984375,-38.28125,3,25892768,good
-8.984375,-38.28125,3,207807180,bad
-8.984375,-38.28125,3,35359428,good
-8.984375,-38.28125,3,133232593,bad
-8.984375,-38.28125,3,60558636,good
-8.984375,-38.28125,3,180628442,bad
-8.984375,-38.28125,3,197393856,good
-8.984375,-38.28125,3,61165245,good
-8.984375,-38.28125,3,153122166,good
-8.984375,-38.28125,3,176334068,good
-8.984375,-38.28125,3,222059916,good
-8.984375,-38.28125,3,19532349,bad
-8.984375,-38.28125,3,48023854,bad
-8.984375,-38.28125,3,185610795,bad
-8.984375,-38.28125,3,142082482,good
-8.984375,-38.28125,3,188466905,good
-8.984375,-38.28125,3,82208187,bad
-8.984375,-38.28125,3,68882636,good
-8.984375,-38.28125,3,57782233,good
-8.984375,-38.28125,3,64106692,good
-8.984375,-38.28125,3,133574885,good
-8.984375,-38.28125,3,67363182,good
-8.984375,-38.28125,3,132565622,good
-8.984375,-38.28125,3,49654562,good
