[scope.glitch.width,scope.glitch.offset,scope.glitch.repeat,scope.glitch.ext_offset,good/bad/crash]
-8.984375,-38.28125,3,191218114,good
-8.984375,-38.28125,3,102773376,bad
-8.984375,-38.28125,3,156438477,good
-8.984375,-38.28125,3,49014137,good
-8.984375,-38.28125,3,58590919,good
-8.984375,-38.28125,3,44917205,good
-8.984375,-38.28125,3,52102109,good
-8.984375,-38.28125,3,45465912,good
-8.984375,-38.28125,3,180089784,good
-8.984375,-38.28125,3,182979335,good
-8.984375,-38.28125,3,24638780,good
-8.984375,-38.28125,3,189484630,good
-8.984375,-38.28125,3,203403471,good
-8.984375,-38.28125,3,40614353,good
-8.984375,-38.28125,3,216461969,good
-8.984375,-38.28125,3,189667015,good
-8.984375,-38.28125,3,76066970,good
-8.984375,-38.28125,3,194467884,good
-8.984375,-38.28125,3,205606201,good
-8.984375,-38.28125,3,3412259,bad
-8.984375,-38.28125,3,118481438,good
-8.984375,-38.28125,3,125563451,good
-8.984375,-38.28125,3,193549689,good
-8.984375,-38.28125,3,170504008,good
-8.984375,-38.28125,3,31029464,good
-8.984375,-38.28125,3,7561918,good
-8.984375,-38.28125,3,138752804,good
-8.984375,-38.28125,3,45272020,good
-8.984375,-38.28125,3,131885033,good
-8.984375,-38.28125,3,198413950,good
-8.984375,-38.28125,3,119240988,good
-8.984375,-38.28125,3,183033410,bad
-8.984375,-38.28125,3,81765702,bad
-8.984375,-38.28125,3,134153007,good
-8.984375,-38.28125,3,22848794,good
-8.984375,-38.28125,3,184476910,bad
-8.984375,-38.28125,3,204160182,good
-8.984375,-38.28125,3,68158076,bad
-8.984375,-38.28125,3,164113280,good
-8.984375,-38.28125,3,42332412,good
-8.984375,-38.28125,3,182859221,good
-8.984375,-38.28125,3,87743663,good
-8.984375,-38.28125,3,81968967,good
-8.984375,-38.28125,3,19997414,good
-8.984375,-38.28125,3,145515141,good
-8.984375,-38.28125,3,174209937,bad
-8.984375,-38.28125,3,98515107,good
-8.984375,-38.28125,3,177370596,good
-8.984375,-38.28125,3,8927953,bad
-8.984375,-38.28125,3,57372397,good
-8.984375,-38.28125,3,84870796,good
-8.984375,-38.28125,3,90980762,good
-8.984375,-38.28125,3,199450425,good
-8.984375,-38.28125,3,18685907,bad
-8.984375,-38.28125,3,83423960,good
-8.984375,-38.28125,3,26012743,good
-8.984375,-38.28125,3,66029700,good
-8.984375,-38.28125,3,178544557,good
-8.984375,-38.28125,3,160112813,good
-8.984375,-38.28125,3,214499016,good
-8.984375,-38.28125,3,41052314,good
-8.984375,-38.28125,3,219889017,good
-8.984375,-38.28125,3,131410588,good
-8.984375,-38.28125,3,76273538,bad
-8.984375,-38.28125,3,71514466,bad
-8.984375,-38.28125,3,150930396,bad
-8.984375,-38.28125,3,199389849,good
-8.984375,-38.28125,3,73517008,good
-8.984375,-38.28125,3,53170671,good
-8.984375,-38.28125,3,25124154,bad
-8.984375,-38.28125,3,154718231,good
-8.984375,-38.28125,3,132721671,good
-8.984375,-38.28125,3,210634772,good
-8.984375,-38.28125,3,41413577,good
-8.984375,-38.28125,3,175241762,good
-8.984375,-38.28125,3,38413226,good
-8.984375,-38.28125,3,87042367,good
-8.984375,-38.28125,3,128728646,good
-8.984375,-38.28125,3,53130258,good
-8.984375,-38.28125,3,179954068,good
-8.984375,-38.28125,3,162222760,bad
-8.984375,-38.28125,3,210312464,good
-8.984375,-38.28125,3,35258717,good
-8.984375,-38.28125,3,127730468,good
-8.984375,-38.28125,3,135679427,bad
-8.984375,-38.28125,3,69625447,good
-8.984375,-38.28125,3,136590737,good
-8.984375,-38.28125,3,205354892,good
-8.984375,-38.28125,3,60593699,good
-8.984375,-38.28125,3,142833701,good
-8.984375,-38.28125,3,213760672,good
-8.984375,-38.28125,3,65124202,good
-8.984375,-38.28125,3,22690716,good
-8.984375,-38.28125,3,169373975,good
-8.984375,-38.28125,3,36674731,good
-8.984375,-38.28125,3,70050624,bad
-8.984375,-38.28125,3,84125402,good
-8.984375,-38.28125,3,172851571,good
-8.984375,-38.28125,3,145525154,bad
-8.984375,-38.28125,3,174132075,bad
-8.984375,-38.28125,3,61847062,good
-8.984375,-38.28125,3,105029866,good
-8.984375,-38.28125,3,55445441,good
-8.984375,-38.28125,3,213344987,good
-8.984375,-38.28125,3,82139947,good
-8.984375,-38.28125,3,108322773,good
-8.984375,-38.28125,3,17860117,good
-8.984375,-38.28125,3,125865444,bad
-8.984375,-38.28125,3,97318218,good
-8.984375,-38.28125,3,87442883,good
-8.984375,-38.28125,3,67250006,good
-8.984375,-38.28125,3,207898251,bad
-8.984375,-38.28125,3,49796232,good
-8.984375,-38.28125,3,199476206,bad
-8.984375,-38.28125,3,154177798,good
-8.984375,-38.28125,3,221673974,good
-8.984375,-38.28125,3,116656045,good
-8.984375,-38.28125,3,91643105,good
-8.984375,-38.28125,3,66823699,good
-8.984375,-38.28125,3,99675431,good
-8.984375,-38.28125,3,9061842,bad
-8.984375,-38.28125,3,15504576,bad
-8.984375,-38.28125,3,121029832,good
-8.984375,-38.28125,3,188707898,good
-8.984375,-38.28125,3,83905204,bad
-8.984375,-38.28125,3,117780201,good
-8.984375,-38.28125,3,120453715,good
-8.984375,-38.28125,3,211208843,good
-8.984375,-38.28125,3,205085485,good
-8.984375,-38.28125,3,24061403,good
-8.984375,-38.28125,3,10059382,bad
-8.984375,-38.28125,3,21875432,good
-8.984375,-38.28125,3,88041702,good
-8.984375,-38.28125,3,190977165,good
-8.984375,-38.28125,3,109835156,good
-8.984375,-38.28125,3,217788678,bad
-8.984375,-38.28125,3,101002838,bad
-8.984375,-38.28125,3,144638537,good
-8.984375,-38.28125,3,133494913,good
-8.984375,-38.28125,3,154718853,good
-8.984375,-38.28125,3,140753140,good
-8.984375,-38.28125,3,109942682,bad
-8.984375,-38.28125,3,106345906,bad
-8.984375,-38.28125,3,59270409,bad
-8.984375,-38.28125,3,75623426,good
-8.984375,-38.28125,3,81332528,bad
-8.984375,-38.28125,3,99842185,good
-8.984375,-38.28125,3,78877537,good
-8.984375,-38.28125,3,39133486,good
-8.984375,-38.28125,3,90229380,good
-8.984375,-38.28125,3,199886574,bad
-8.984375,-38.28125,3,17010335,bad
-8.984375,-38.28125,3,214323452,good
-8.984375,-38.28125,3,155357018,bad
-8.984375,-38.28125,3,172096992,good
-8.984375,-38.28125,3,215743827,bad
-8.984375,-38.28125,3,4615567,good
-8.984375,-38.28125,3,70419748,good
-8.984375,-38.28125,3,145818338,good
-8.984375,-38.28125,3,4127274,good
-8.984375,-38.28125,3,185784738,good
-8.984375,-38.28125,3,173335302,bad
-8.984375,-38.28125,3,112544692,good
-8.984375,-38.28125,3,107433622,good
-8.984375,-38.28125,3,169832893,good
-8.984375,-38.28125,3,105485110,good
-8.984375,-38.28125,3,78153767,good
-8.984375,-38.28125,3,71809886,good
-8.984375,-38.28125,3,120975704,good
-8.984375,-38.28125,3,102551013,good
-8.984375,-38.28125,3,181924136,good
-8.984375,-38.28125,3,204076667,bad
-8.984375,-38.28125,3,99691288,good
-8.984375,-38.28125,3,85517256,bad
-8.984375,-38.28125,3,193630621,good
-8.984375,-38.28125,3,2288173,bad
-8.984375,-38.28125,3,106606404,good
-8.984375,-38.28125,3,5206798,good
-8.984375,-38.28125,3,129219359,bad
-8.984375,-38.28125,3,124174427,bad
-8.984375,-38.28125,3,212827694,good
-8.984375,-38.28125,3,18283905,good
-8.984375,-38.28125,3,45223633,bad
-8.984375,-38.28125,3,210645793,good
-8.984375,-38.28125,3,62192927,good
-8.984375,-38.28125,3,33827334,good
-8.984375,-38.28125,3,142150738,bad
-8.984375,-38.28125,3,175280781,good
-8.984375,-38.28125,3,158186455,good
-8.984375,-38.28125,3,57189338,good
-8.984375,-38.28125,3,119646058,bad
-8.984375,-38.28125,3,35901831,good
-8.984375,-38.28125,3,47148459,good
-8.984375,-38.28125,3,221543509,good
-8.984375,-38.28125,3,13061561,good
-8.984375,-38.28125,3,30292628,good
-8.984375,-38.28125,3,221314262,good
-8.984375,-38.28125,3,22040612,good
-8.984375,-38.28125,3,14016321,good
-8.984375,-38.28125,3,62915687,bad
-8.984375,-38.28125,3,6368254,good
-8.984375,-38.28125,3,149455296,good
-8.984375,-38.28125,3,188088037,bad
-8.984375,-38.28125,3,131204426,good
-8.984375,-38.28125,3,13310757,good
-8.984375,-38.28125,3,49182737,good
-8.984375,-38.28125,3,89319162,good
-8.984375,-38.28125,3,213073586,good
-8.984375,-38.28125,3,82910253,good
-8.984375,-38.28125,3,27872505,good
-8.984375,-38.28125,3,49080782,good
-8.984375,-38.28125,3,29802203,bad
-8.984375,-38.28125,3,37797678,good
-8.984375,-38.28125,3,209154455,good
-8.984375,-38.28125,3,135308197,good
-8.984375,-38.28125,3,205344591,good
-8.984375,-38.28125,3,21127181,good
-8.984375,-38.28125,3,160293963,good
-8.984375,-38.28125,3,214342897,good
-8.984375,-38.28125,3,140280514,bad
-8.984375,-38.28125,3,133261213,good
-8.984375,-38.28125,3,140047432,good
-8.984375,-38.28125,3,189003130,bad
-8.984375,-38.28125,3,82173478,good
-8.984375,-38.28125,3,68347268,good
-8.984375,-38.28125,3,184140242,good
-8.984375,-38.28125,3,175575013,good
-8.984375,-38.28125,3,121753634,good
-8.984375,-38.28125,3,123618507,bad
-8.984375,-38.28125,3,174042530,good
-8.984375,-38.28125,3,101593042,good
-8.984375,-38.28125,3,110259370,good
-8.984375,-38.28125,3,177053547,good
-8.984375,-38.28125,3,198425124,good
-8.984375,-38.28125,3,41500510,good
-8.984375,-38.28125,3,91604012,bad
-8.984375,-38.28125,3,21712424,good
-8.984375,-38.28125,3,51294580,good
-8.984375,-38.28125,3,142523379,bad
-8.984375,-38.28125,3,41173831,good
-8.984375,-38.28125,3,48757313,good
-8.984375,-38.28125,3,35328660,good
-8.984375,-38.28125,3,118351610,good
-8.984375,-38.28125,3,91470105,good
-8.984375,-38.28125,3,75735749,bad
-8.984375,-38.28125,3,62329213,good
-8.984375,-38.28125,3,172140797,good
-8.984375,-38.28125,3,166354535,good
-8.984375,-38.28125,3,36299321,bad
-8.984375,-38.28125,3,66895055,good
