[scope.glitch.width,scope.glitch.offset,scope.glitch.repeat,scope.glitch.ext_offset,good/bad/crash]
-8.984375,-38.28125,3,86928195,good
-8.984375,-38.28125,3,40493267,good
-8.984375,-38.28125,3,105984624,bad
-8.984375,-38.28125,3,25923578,good
-8.984375,-38.28125,3,19444467,good
-8.984375,-38.28125,3,220459138,good
-8.984375,-38.28125,3,143849730,good
-8.984375,-38.28125,3,25267841,good
-8.984375,-38.28125,3,98163871,good
-8.984375,-38.28125,3,156440965,good
-8.984375,-38.28125,3,15568967,good
-8.984375,-38.28125,3,244196825,good
-8.984375,-38.28125,3,136213743,good
-8.984375,-38.28125,3,57632604,good
-8.984375,-38.28125,3,10065165,good
-8.984375,-38.28125,3,23071285,bad
-8.984375,-38.28125,3,232811755,good
-8.984375,-38.28125,3,112252233,good
-8.984375,-38.28125,3,18751672,good
-8.984375,-38.28125,3,64602482,good
-8.984375,-38.28125,3,24350589,good
-8.984375,-38.28125,3,147920620,good
-8.984375,-38.28125,3,113956002,good
-8.984375,-38.28125,3,15867355,good
-8.984375,-38.28125,3,221956426,bad
-8.984375,-38.28125,3,66465668,good
-8.984375,-38.28125,3,59925253,good
-8.984375,-38.28125,3,169282355,good
-8.984375,-38.28125,3,168425323,good
-8.984375,-38.28125,3,156497039,good
-8.984375,-38.28125,3,16605967,bad
-8.984375,-38.28125,3,212966210,bad
-8.984375,-38.28125,3,26623059,bad
-8.984375,-38.28125,3,118692402,bad
-8.984375,-38.28125,3,25008886,good
-8.984375,-38.28125,3,149428595,good
-8.984375,-38.28125,3,230443372,good
-8.984375,-38.28125,3,35748842,good
-8.984375,-38.28125,3,77741401,bad
-8.984375,-38.28125,3,225023560,good
-8.984375,-38.28125,3,38723178,good
-8.984375,-38.28125,3,145139262,good
-8.984375,-38.28125,3,31619612,good
-8.984375,-38.28125,3,153253477,good
-8.984375,-38.28125,3,82807459,good
-8.984375,-38.28125,3,150392917,good
-8.984375,-38.28125,3,219077250,good
-8.984375,-38.28125,3,183073705,good
-8.984375,-38.28125,3,48513368,bad
-8.984375,-38.28125,3,55327612,good
-8.984375,-38.28125,3,156122105,good
-8.984375,-38.28125,3,153331510,bad
-8.984375,-38.28125,3,100862488,good
-8.984375,-38.28125,3,99964704,good
-8.984375,-38.28125,3,26153821,good
-8.984375,-38.28125,3,147034034,good
-8.984375,-38.28125,3,191155778,good
-8.984375,-38.28125,3,16854787,good
-8.984375,-38.28125,3,151496460,good
-8.984375,-38.28125,3,15999067,good
-8.984375,-38.28125,3,166164123,good
-8.984375,-38.28125,3,55286621,good
-8.984375,-38.28125,3,133255250,good
-8.984375,-38.28125,3,182643477,good
-8.984375,-38.28125,3,142732566,good
-8.984375,-38.28125,3,114780935,good
-8.984375,-38.28125,3,208635761,good
-8.984375,-38.28125,3,84328238,bad
-8.984375,-38.28125,3,249968098,good
-8.984375,-38.28125,3,157185565,good
-8.984375,-38.28125,3,247884408,bad
-8.984375,-38.28125,3,121650755,good
-8.984375,-38.28125,3,97061525,good
-8.984375,-38.28125,3,80468090,good
-8.984375,-38.28125,3,66686503,good
-8.984375,-38.28125,3,213239618,bad
-8.984375,-38.28125,3,48255769,good
-8.984375,-38.28125,3,187634889,good
-8.984375,-38.28125,3,209333922,good
-8.984375,-38.28125,3,65524159,good
-8.984375,-38.28125,3,21972787,good
-8.984375,-38.28125,3,154195690,good
-8.984375,-38.28125,3,80597509,good
-8.984375,-38.28125,3,140981362,good
-8.984375,-38.28125,3,132906784,good
-8.984375,-38.28125,3,234917932,good
-8.984375,-38.28125,3,92201052,good
-8.984375,-38.28125,3,195808978,good
-8.984375,-38.28125,3,120483011,bad
-8.984375,-38.28125,3,154585409,good
-8.984375,-38.28125,3,163466191,bad
-8.984375,-38.28125,3,39299417,bad
-8.984375,-38.28125,3,63386082,good
-8.984375,-38.28125,3,137420923,good
-8.984375,-38.28125,3,112238990,good
-8.984375,-38.28125,3,44281677,good
-8.984375,-38.28125,3,203243471,bad
-8.984375,-38.28125,3,91819906,good
-8.984375,-38.28125,3,40798037,good
-8.984375,-38.28125,3,250522814,good
-8.984375,-38.28125,3,131255032,good
-8.984375,-38.28125,3,113198790,bad
-8.984375,-38.28125,3,21049234,bad
-8.984375,-38.28125,3,41672176,good
