[scope.glitch.width,scope.glitch.offset,scope.glitch.repeat,scope.glitch.ext_offset,good/bad/crash]
-8.984375,-38.28125,3,153384717,good
-8.984375,-38.28125,3,8746987,bad
-8.984375,-38.28125,3,230258058,good
-8.984375,-38.28125,3,129536662,good
-8.984375,-38.28125,3,155180203,bad
-8.984375,-38.28125,3,7963108,good
-8.984375,-38.28125,3,55324072,good
-8.984375,-38.28125,3,124173008,bad
-8.984375,-38.28125,3,263762759,good
-8.984375,-38.28125,3,221080455,bad
-8.984375,-38.28125,3,148992768,good
-8.984375,-38.28125,3,175415196,good
-8.984375,-38.28125,3,217598824,good
-8.984375,-38.28125,3,43011294,good
-8.984375,-38.28125,3,9235139,good
-8.984375,-38.28125,3,139766117,good
-8.984375,-38.28125,3,131556347,good
-8.984375,-38.28125,3,87985844,bad
-8.984375,-38.28125,3,40850158,good
-8.984375,-38.28125,3,67107971,good
-8.984375,-38.28125,3,200131166,good
-8.984375,-38.28125,3,96947781,bad
-8.984375,-38.28125,3,23921027,bad
-8.984375,-38.28125,3,225698488,good
-8.984375,-38.28125,3,230897720,good
-8.984375,-38.28125,3,37229118,bad
-8.984375,-38.28125,3,190633029,good
-8.984375,-38.28125,3,102436576,good
-8.984375,-38.28125,3,113082192,good
-8.984375,-38.28125,3,76133184,good
-8.984375,-38.28125,3,221955381,good
-8.984375,-38.28125,3,181184496,good
-8.984375,-38.28125,3,70416286,good
-8.984375,-38.28125,3,122629678,good
-8.984375,-38.28125,3,46887778,good
-8.984375,-38.28125,3,184109541,good
-8.984375,-38.28125,3,81364159,good
-8.984375,-38.28125,3,177663019,good
-8.984375,-38.28125,3,97331317,good
-8.984375,-38.28125,3,35696048,bad
-8.984375,-38.28125,3,245311577,bad
-8.984375,-38.28125,3,206114893,good
-8.984375,-38.28125,3,230867682,good
-8.984375,-38.28125,3,64258156,good
-8.984375,-38.28125,3,118017051,bad
-8.984375,-38.28125,3,201457048,good
-8.984375,-38.28125,3,11881122,good
-8.984375,-38.28125,3,156479499,good
-8.984375,-38.28125,3,1088544,good
-8.984375,-38.28125,3,63257870,good
-8.984375,-38.28125,3,35962976,good
-8.984375,-38.28125,3,52332379,bad
-8.984375,-38.28125,3,162597025,good
-8.984375,-38.28125,3,143974059,good
-8.984375,-38.28125,3,98286460,good
-8.984375,-38.28125,3,207247063,good
-8.984375,-38.28125,3,241107719,good
-8.984375,-38.28125,3,64473439,bad
-8.984375,-38.28125,3,168772780,good
-8.984375,-38.28125,3,178963220,good
-8.984375,-38.28125,3,147366283,good
-8.984375,-38.28125,3,120963190,bad
-8.984375,-38.28125,3,234092338,good
-8.984375,-38.28125,3,126157677,good
-8.984375,-38.28125,3,17446741,good
-8.984375,-38.28125,3,175282374,good
-8.984375,-38.28125,3,156912933,good
-8.984375,-38.28125,3,87157846,bad
-8.984375,-38.28125,3,269464648,good
-8.984375,-38.28125,3,41988383,good
-8.984375,-38.28125,3,226069660,bad
-8.984375,-38.28125,3,60209795,bad
-8.984375,-38.28125,3,221658007,bad
-8.984375,-38.28125,3,63988035,good
-8.984375,-38.28125,3,9911945,good
-8.984375,-38.28125,3,8521936,good
-8.984375,-38.28125,3,133305986,good
-8.984375,-38.28125,3,80843162,bad
-8.984375,-38.28125,3,38673372,bad
-8.984375,-38.28125,3,286411897,good
-8.984375,-38.28125,3,248106214,good
-8.984375,-38.28125,3,229546069,good
-8.984375,-38.28125,3,21729735,good
-8.984375,-38.28125,3,40181603,good
-8.984375,-38.28125,3,103191652,good
-8.984375,-38.28125,3,152266112,good
-8.984375,-38.28125,3,100441786,good
-8.984375,-38.28125,3,245071526,bad
-8.984375,-38.28125,3,161411461,good
-8.984375,-38.28125,3,40174495,good
-8.984375,-38.28125,3,30310577,good
-8.984375,-38.28125,3,208175104,good
-8.984375,-38.28125,3,207537684,good
-8.984375,-38.28125,3,25932430,good
-8.984375,-38.28125,3,118527897,good
-8.984375,-38.28125,3,44657926,good
-8.984375,-38.28125,3,216748143,good
-8.984375,-38.28125,3,51251336,good
-8.984375,-38.28125,3,93598369,good
-8.984375,-38.28125,3,116294695,good
-8.984375,-38.28125,3,111153976,good
-8.984375,-38.28125,3,119616790,good
-8.984375,-38.28125,3,65896038,bad
-8.984375,-38.28125,3,147480261,good
-8.984375,-38.28125,3,38524034,good
-8.984375,-38.28125,3,165692528,good
-8.984375,-38.28125,3,140084909,good
-8.984375,-38.28125,3,47905100,good
-8.984375,-38.28125,3,232165152,good
-8.984375,-38.28125,3,32073340,good
-8.984375,-38.28125,3,71679532,bad
-8.984375,-38.28125,3,244670791,bad
-8.984375,-38.28125,3,162441048,good
-8.984375,-38.28125,3,44275155,bad
-8.984375,-38.28125,3,93580882,good
-8.984375,-38.28125,3,208711625,bad
-8.984375,-38.28125,3,94537298,good
-8.984375,-38.28125,3,128884825,good
-8.984375,-38.28125,3,207460166,good
-8.984375,-38.28125,3,93300449,good
-8.984375,-38.28125,3,88063990,good
-8.984375,-38.28125,3,116691724,good
-8.984375,-38.28125,3,60039796,bad
-8.984375,-38.28125,3,2688956,good
-8.984375,-38.28125,3,146257207,bad
-8.984375,-38.28125,3,191279912,good
-8.984375,-38.28125,3,11723366,good
-8.984375,-38.28125,3,89028557,good
-8.984375,-38.28125,3,240766840,bad
-8.984375,-38.28125,3,171489046,bad
-8.984375,-38.28125,3,65128530,good
-8.984375,-38.28125,3,21454712,good
-8.984375,-38.28125,3,70267619,good
-8.984375,-38.28125,3,120274096,good
-8.984375,-38.28125,3,108660661,bad
-8.984375,-38.28125,3,84950182,good
-8.984375,-38.28125,3,104847383,good
-8.984375,-38.28125,3,247127058,bad
-8.984375,-38.28125,3,233416854,good
-8.984375,-38.28125,3,133079635,good
-8.984375,-38.28125,3,180751877,good
-8.984375,-38.28125,3,239840895,bad
-8.984375,-38.28125,3,64802530,good
-8.984375,-38.28125,3,197654622,bad
-8.984375,-38.28125,3,141023598,bad
-8.984375,-38.28125,3,145863869,good
-8.984375,-38.28125,3,139615882,good
-8.984375,-38.28125,3,129545487,bad
-8.984375,-38.28125,3,268371037,good
-8.984375,-38.28125,3,16850667,good
-8.984375,-38.28125,3,44643245,good
-8.984375,-38.28125,3,131368585,good
-8.984375,-38.28125,3,181004547,bad
-8.984375,-38.28125,3,123867195,good
-8.984375,-38.28125,3,241051915,good
-8.984375,-38.28125,3,107677483,good
-8.984375,-38.28125,3,36442951,good
-8.984375,-38.28125,3,112859756,bad
-8.984375,-38.28125,3,290604193,good
-8.984375,-38.28125,3,157017306,bad
-8.984375,-38.28125,3,187491706,good
-8.984375,-38.28125,3,144597334,good
-8.984375,-38.28125,3,104104710,good
-8.984375,-38.28125,3,131505390,good
-8.984375,-38.28125,3,188376058,good
-8.984375,-38.28125,3,44505642,good
-8.984375,-38.28125,3,149980266,bad
-8.984375,-38.28125,3,236946271,bad
-8.984375,-38.28125,3,52962996,good
-8.984375,-38.28125,3,111447338,good
-8.984375,-38.28125,3,222550851,good
-8.984375,-38.28125,3,9480556,good
-8.984375,-38.28125,3,234079323,bad
-8.984375,-38.28125,3,1519572,good
-8.984375,-38.28125,3,117729974,bad
-8.984375,-38.28125,3,287450593,good
-8.984375,-38.28125,3,17432391,good
-8.984375,-38.28125,3,13575570,good
-8.984375,-38.28125,3,93855226,good
-8.984375,-38.28125,3,24895618,good
-8.984375,-38.28125,3,40805422,bad
-8.984375,-38.28125,3,58388152,good
-8.984375,-38.28125,3,163268434,bad
-8.984375,-38.28125,3,243781446,good
-8.984375,-38.28125,3,223728078,good
-8.984375,-38.28125,3,214621025,good
-8.984375,-38.28125,3,130206054,bad
-8.984375,-38.28125,3,74785935,bad
-8.984375,-38.28125,3,246230624,good
-8.984375,-38.28125,3,231401174,bad
-8.984375,-38.28125,3,234349959,good
-8.984375,-38.28125,3,207930494,good
-8.984375,-38.28125,3,134516276,good
-8.984375,-38.28125,3,247670254,good
-8.984375,-38.28125,3,120014128,bad
-8.984375,-38.28125,3,184269853,good
-8.984375,-38.28125,3,194941909,good
-8.984375,-38.28125,3,69557412,good
-8.984375,-38.28125,3,241039344,good
-8.984375,-38.28125,3,211723041,good
-8.984375,-38.28125,3,187333144,good
-8.984375,-38.28125,3,123009465,good
-8.984375,-38.28125,3,113631575,bad
-8.984375,-38.28125,3,176294918,bad
-8.984375,-38.28125,3,174356645,bad
-8.984375,-38.28125,3,278992429,good
-8.984375,-38.28125,3,244152945,good
-8.984375,-38.28125,3,140496224,good
-8.984375,-38.28125,3,41239024,good
-8.984375,-38.28125,3,198545939,good
-8.984375,-38.28125,3,63711131,good
-8.984375,-38.28125,3,86721263,good
-8.984375,-38.28125,3,166191612,bad
-8.984375,-38.28125,3,17662831,good
-8.984375,-38.28125,3,184420513,good
-8.984375,-38.28125,3,52500151,good
-8.984375,-38.28125,3,172496682,good
-8.984375,-38.28125,3,242845246,good
-8.984375,-38.28125,3,157981933,good
-8.984375,-38.28125,3,154435931,good
-8.984375,-38.28125,3,222646592,bad
-8.984375,-38.28125,3,168692696,good
-8.984375,-38.28125,3,128565270,good
-8.984375,-38.28125,3,6684793,good
-8.984375,-38.28125,3,216785485,bad
-8.984375,-38.28125,3,62478830,good
-8.984375,-38.28125,3,79532199,good
-8.984375,-38.28125,3,116865168,bad
-8.984375,-38.28125,3,132360439,good
-8.984375,-38.28125,3,192801721,good
-8.984375,-38.28125,3,77661414,good
-8.984375,-38.28125,3,238553623,good
-8.984375,-38.28125,3,23903265,good
-8.984375,-38.28125,3,12411350,good
-8.984375,-38.28125,3,160321958,bad
-8.984375,-38.28125,3,295612369,good
-8.984375,-38.28125,3,205846650,bad
-8.984375,-38.28125,3,56695353,good
-8.984375,-38.28125,3,219234930,good
-8.984375,-38.28125,3,76634492,good
-8.984375,-38.28125,3,43656565,good
-8.984375,-38.28125,3,179852108,bad
-8.984375,-38.28125,3,256262463,good
-8.984375,-38.28125,3,37922825,good
-8.984375,-38.28125,3,96901026,good
-8.984375,-38.28125,3,159754735,good
-8.984375,-38.28125,3,107554019,good
-8.984375,-38.28125,3,246847789,bad
-8.984375,-38.28125,3,103064891,good
-8.984375,-38.28125,3,93917161,good
-8.984375,-38.28125,3,49001321,good
-8.984375,-38.28125,3,21406567,good
-8.984375,-38.28125,3,158772514,good
-8.984375,-38.28125,3,52252656,good
-8.984375,-38.28125,3,114553864,bad
-8.984375,-38.28125,3,111509517,good
-8.984375,-38.28125,3,25770052,bad
-8.984375,-38.28125,3,165626754,bad
-8.984375,-38.28125,3,238245580,good
-8.984375,-38.28125,3,124489619,good
-8.984375,-38.28125,3,231706147,good
-8.984375,-38.28125,3,199636104,bad
-8.984375,-38.28125,3,201705622,good
-8.984375,-38.28125,3,186626205,bad
-8.984375,-38.28125,3,280490680,good
-8.984375,-38.28125,3,193937769,good
-8.984375,-38.28125,3,113678871,good
-8.984375,-38.28125,3,120157697,bad
-8.984375,-38.28125,3,111941159,good
-8.984375,-38.28125,3,71374256,good
-8.984375,-38.28125,3,160398401,good
-8.984375,-38.28125,3,97797894,good
-8.984375,-38.28125,3,31119042,good
-8.984375,-38.28125,3,168380638,bad
-8.984375,-38.28125,3,4159442,good
-8.984375,-38.28125,3,56262396,good
-8.984375,-38.28125,3,113783925,good
-8.984375,-38.28125,3,163684690,good
-8.984375,-38.28125,3,109646007,good
-8.984375,-38.28125,3,234861900,good
-8.984375,-38.28125,3,102500101,good
-8.984375,-38.28125,3,233897864,good
-8.984375,-38.28125,3,218000325,bad
