[scope.glitch.width,scope.glitch.offset,scope.glitch.repeat,scope.glitch.ext_offset,good/bad/crash]
-8.984375,-38.28125,3,127391597,bad
-8.984375,-38.28125,3,72207782,good
-8.984375,-38.28125,3,176488930,good
-8.984375,-38.28125,3,142037460,bad
-8.984375,-38.28125,3,178888199,good
-8.984375,-38.28125,3,93894797,good
-8.984375,-38.28125,3,38278990,bad
-8.984375,-38.28125,3,102445983,bad
-8.984375,-38.28125,3,2915327,good
-8.984375,-38.28125,3,100597393,good
-8.984375,-38.28125,3,129530526,bad
-8.984375,-38.28125,3,73564237,bad
-8.984375,-38.28125,3,172713720,good
-8.984375,-38.28125,3,217526149,good
-8.984375,-38.28125,3,123538902,good
-8.984375,-38.28125,3,185379553,bad
-8.984375,-38.28125,3,161452395,good
-8.984375,-38.28125,3,61107819,good
-8.984375,-38.28125,3,149838000,bad
-8.984375,-38.28125,3,447180,good
-8.984375,-38.28125,3,177522027,good
-8.984375,-38.28125,3,167566238,good
-8.984375,-38.28125,3,39004420,good
-8.984375,-38.28125,3,118126308,bad
-8.984375,-38.28125,3,98691735,bad
-8.984375,-38.28125,3,43558303,good
-8.984375,-38.28125,3,91182202,bad
-8.984375,-38.28125,3,56438999,good
-8.984375,-38.28125,3,15790534,bad
-8.984375,-38.28125,3,154676423,bad
-8.984375,-38.28125,3,219800354,good
-8.984375,-38.28125,3,53588731,good
-8.984375,-38.28125,3,20027870,good
-8.984375,-38.28125,3,137846937,good
-8.984375,-38.28125,3,184400529,good
-8.984375,-38.28125,3,219915712,good
-8.984375,-38.28125,3,90462639,good
-8.984375,-38.28125,3,182921647,good
-8.984375,-38.28125,3,108612818,bad
-8.984375,-38.28125,3,214178213,bad
-8.984375,-38.28125,3,23447938,good
-8.984375,-38.28125,3,4994053,good
-8.984375,-38.28125,3,16316766,good
-8.984375,-38.28125,3,220024107,good
-8.984375,-38.28125,3,177716418,good
-8.984375,-38.28125,3,136613760,bad
-8.984375,-38.28125,3,59926599,good
-8.984375,-38.28125,3,24421716,good
-8.984375,-38.28125,3,113765457,good
-8.984375,-38.28125,3,119116409,bad
-8.984375,-38.28125,3,30206407,bad
-8.984375,-38.28125,3,177399481,good
-8.984375,-38.28125,3,113603659,good
-8.984375,-38.28125,3,36257442,good
-8.984375,-38.28125,3,144818418,good
-8.984375,-38.28125,3,83897003,good
-8.984375,-38.28125,3,166819736,good
-8.984375,-38.28125,3,149831322,good
-8.984375,-38.28125,3,43895673,good
-8.984375,-38.28125,3,187055082,bad
-8.984375,-38.28125,3,13785050,bad
-8.984375,-38.28125,3,149022036,bad
-8.984375,-38.28125,3,45959932,good
-8.984375,-38.28125,3,136163259,good
-8.984375,-38.28125,3,218962171,good
-8.984375,-38.28125,3,22441954,good
-8.984375,-38.28125,3,107513419,bad
-8.984375,-38.28125,3,163058164,good
-8.984375,-38.28125,3,112431562,good
-8.984375,-38.28125,3,179354863,good
-8.984375,-38.28125,3,159979741,good
-8.984375,-38.28125,3,126054637,good
-8.984375,-38.28125,3,127981501,good
-8.984375,-38.28125,3,163556756,bad
-8.984375,-38.28125,3,103235280,good
-8.984375,-38.28125,3,145263622,good
-8.984375,-38.28125,3,8185773,good
-8.984375,-38.28125,3,171994096,bad
-8.984375,-38.28125,3,194972034,good
-8.984375,-38.28125,3,22189909,bad
-8.984375,-38.28125,3,51503745,good
-8.984375,-38.28125,3,211340701,bad
-8.984375,-38.28125,3,178132706,good
-8.984375,-38.28125,3,70212981,good
-8.984375,-38.28125,3,95655683,good
-8.984375,-38.28125,3,97476578,good
-8.984375,-38.28125,3,185251191,bad
-8.984375,-38.28125,3,103507151,good
-8.984375,-38.28125,3,180864515,bad
-8.984375,-38.28125,3,83188851,good
-8.984375,-38.28125,3,30556653,good
-8.984375,-38.28125,3,67747120,bad
-8.984375,-38.28125,3,63074930,good
-8.984375,-38.28125,3,89988329,good
-8.984375,-38.28125,3,97528608,bad
-8.984375,-38.28125,3,99660967,good
-8.984375,-38.28125,3,137264604,good
-8.984375,-38.28125,3,153875191,bad
-8.984375,-38.28125,3,217461460,good
-8.984375,-38.28125,3,205375135,bad
-8.984375,-38.28125,3,134220982,good
-8.984375,-38.28125,3,48159594,good
-8.984375,-38.28125,3,7554651,good
-8.984375,-38.28125,3,102251166,good
-8.984375,-38.28125,3,220806313,bad
-8.984375,-38.28125,3,115468686,good
-8.984375,-38.28125,3,8781807,good
-8.984375,-38.28125,3,139317279,good
-8.984375,-38.28125,3,6909782,good
-8.984375,-38.28125,3,59637755,good
-8.984375,-38.28125,3,181369585,good
-8.984375,-38.28125,3,114687185,bad
-8.984375,-38.28125,3,11672507,bad
-8.984375,-38.28125,3,104219025,good
-8.984375,-38.28125,3,54869617,bad
-8.984375,-38.28125,3,207210314,bad
-8.984375,-38.28125,3,163017733,good
-8.984375,-38.28125,3,27545014,good
-8.984375,-38.28125,3,202211276,good
-8.984375,-38.28125,3,147631815,good
-8.984375,-38.28125,3,59227787,good
-8.984375,-38.28125,3,47794807,good
-8.984375,-38.28125,3,20932863,bad
-8.984375,-38.28125,3,186803036,good
-8.984375,-38.28125,3,73494131,good
-8.984375,-38.28125,3,9890796,good
-8.984375,-38.28125,3,116362051,good
-8.984375,-38.28125,3,74235189,good
-8.984375,-38.28125,3,133761317,bad
-8.984375,-38.28125,3,92389708,bad
-8.984375,-38.28125,3,161616346,good
-8.984375,-38.28125,3,170974497,good
-8.984375,-38.28125,3,194850951,bad
-8.984375,-38.28125,3,13974433,good
-8.984375,-38.28125,3,137980649,good
-8.984375,-38.28125,3,123282214,bad
-8.984375,-38.28125,3,98866270,bad
-8.984375,-38.28125,3,56047560,bad
-8.984375,-38.28125,3,91176687,bad
-8.984375,-38.28125,3,75670826,good
-8.984375,-38.28125,3,122307458,good
-8.984375,-38.28125,3,127845722,good
-8.984375,-38.28125,3,187085491,bad
-8.984375,-38.28125,3,129124033,bad
-8.984375,-38.28125,3,64400987,good
-8.984375,-38.28125,3,44979851,good
-8.984375,-38.28125,3,124749315,good
-8.984375,-38.28125,3,147332570,good
-8.984375,-38.28125,3,97762254,good
-8.984375,-38.28125,3,48828763,good
-8.984375,-38.28125,3,50796652,good
-8.984375,-38.28125,3,205739131,bad
-8.984375,-38.28125,3,200931394,bad
-8.984375,-38.28125,3,59024716,bad
-8.984375,-38.28125,3,162917104,good
-8.984375,-38.28125,3,1791604,good
-8.984375,-38.28125,3,72008897,good
-8.984375,-38.28125,3,206875892,bad
-8.984375,-38.28125,3,215117025,good
-8.984375,-38.28125,3,91748484,good
-8.984375,-38.28125,3,48194905,good
-8.984375,-38.28125,3,64850442,good
-8.984375,-38.28125,3,213391678,good
-8.984375,-38.28125,3,2316559,good
-8.984375,-38.28125,3,134595318,good
-8.984375,-38.28125,3,10743577,bad
-8.984375,-38.28125,3,66452735,good
-8.984375,-38.28125,3,166182242,good
-8.984375,-38.28125,3,31154215,good
-8.984375,-38.28125,3,96892359,good
-8.984375,-38.28125,3,146716699,good
-8.984375,-38.28125,3,135183957,good
-8.984375,-38.28125,3,41555593,good
-8.984375,-38.28125,3,6418174,good
-8.984375,-38.28125,3,86558736,good
-8.984375,-38.28125,3,211366651,good
-8.984375,-38.28125,3,179472595,bad
