[isogeny,scope.glitch.width,scope.glitch.offset,scope.glitch.repeat,scope.glitch.ext_offset,good/bad/crash]
1,-8.984375,-38.28125,3,60688,bad
1,-8.984375,-38.28125,3,80376,good
1,-8.984375,-38.28125,3,48931,crash
1,-8.984375,-38.28125,3,35014,crash
1,-8.984375,-38.28125,3,18159,good
1,-8.984375,-38.28125,3,24399,good
1,-8.984375,-38.28125,3,88690,good
1,-8.984375,-38.28125,3,844,crash
1,-8.984375,-38.28125,3,44346,bad
1,-8.984375,-38.28125,3,65901,crash
1,-8.984375,-38.28125,3,60781,crash
1,-8.984375,-38.28125,3,79260,crash
1,-8.984375,-38.28125,3,10593,good
1,-8.984375,-38.28125,3,43782,good
1,-8.984375,-38.28125,3,72650,good
1,-8.984375,-38.28125,3,80826,good
1,-8.984375,-38.28125,3,5361,crash
1,-8.984375,-38.28125,3,49679,good
1,-8.984375,-38.28125,3,22206,crash
1,-8.984375,-38.28125,3,59248,bad
1,-8.984375,-38.28125,3,55390,good
1,-8.984375,-38.28125,3,20599,good
1,-8.984375,-38.28125,3,22077,crash
1,-8.984375,-38.28125,3,31197,crash
1,-8.984375,-38.28125,3,6729,crash
1,-8.984375,-38.28125,3,14543,good
1,-8.984375,-38.28125,3,17358,good
1,-8.984375,-38.28125,3,66358,bad
1,-8.984375,-38.28125,3,77389,good
1,-8.984375,-38.28125,3,8301,good
1,-8.984375,-38.28125,3,50288,crash
1,-8.984375,-38.28125,3,13327,good
1,-8.984375,-38.28125,3,38166,crash
1,-8.984375,-38.28125,3,26865,good
1,-8.984375,-38.28125,3,88374,crash
1,-8.984375,-38.28125,3,29400,good
1,-8.984375,-38.28125,3,55281,bad
1,-8.984375,-38.28125,3,11497,good
1,-8.984375,-38.28125,3,34962,good
1,-8.984375,-38.28125,3,27511,good
1,-8.984375,-38.28125,3,51976,good
1,-8.984375,-38.28125,3,36856,crash
1,-8.984375,-38.28125,3,44783,crash
1,-8.984375,-38.28125,3,5662,crash
1,-8.984375,-38.28125,3,26147,good
1,-8.984375,-38.28125,3,691,crash
1,-8.984375,-38.28125,3,53896,good
1,-8.984375,-38.28125,3,7182,good
1,-8.984375,-38.28125,3,49653,bad
1,-8.984375,-38.28125,3,64450,bad
1,-8.984375,-38.28125,3,18238,crash
1,-8.984375,-38.28125,3,3078,good
1,-8.984375,-38.28125,3,31030,good
1,-8.984375,-38.28125,3,55670,bad
1,-8.984375,-38.28125,3,14687,crash
1,-8.984375,-38.28125,3,78230,good
1,-8.984375,-38.28125,3,508,good
1,-8.984375,-38.28125,3,15891,crash
1,-8.984375,-38.28125,3,75852,good
1,-8.984375,-38.28125,3,25910,good
1,-8.984375,-38.28125,3,26615,good
1,-8.984375,-38.28125,3,43283,good
1,-8.984375,-38.28125,3,1082,crash
1,-8.984375,-38.28125,3,10945,good
1,-8.984375,-38.28125,3,17457,good
1,-8.984375,-38.28125,3,70749,good
1,-8.984375,-38.28125,3,2290,good
1,-8.984375,-38.28125,3,65642,crash
1,-8.984375,-38.28125,3,11120,good
1,-8.984375,-38.28125,3,75102,good
1,-8.984375,-38.28125,3,65109,good
1,-8.984375,-38.28125,3,70463,bad
1,-8.984375,-38.28125,3,25976,good
1,-8.984375,-38.28125,3,55065,bad
1,-8.984375,-38.28125,3,9021,crash
1,-8.984375,-38.28125,3,52185,good
1,-8.984375,-38.28125,3,25188,good
1,-8.984375,-38.28125,3,83718,bad
1,-8.984375,-38.28125,3,12245,good
1,-8.984375,-38.28125,3,75996,good
1,-8.984375,-38.28125,3,19053,crash
1,-8.984375,-38.28125,3,22618,good
1,-8.984375,-38.28125,3,79809,good
1,-8.984375,-38.28125,3,5401,crash
1,-8.984375,-38.28125,3,7101,good
1,-8.984375,-38.28125,3,35389,good
1,-8.984375,-38.28125,3,72753,good
1,-8.984375,-38.28125,3,89552,good
1,-8.984375,-38.28125,3,79480,good
1,-8.984375,-38.28125,3,19570,good
1,-8.984375,-38.28125,3,35169,crash
1,-8.984375,-38.28125,3,75404,crash
1,-8.984375,-38.28125,3,4488,bad
1,-8.984375,-38.28125,3,15904,good
1,-8.984375,-38.28125,3,52740,crash
1,-8.984375,-38.28125,3,31037,good
1,-8.984375,-38.28125,3,21200,crash
1,-8.984375,-38.28125,3,80102,good
1,-8.984375,-38.28125,3,66180,bad
1,-8.984375,-38.28125,3,5641,good
1,-8.984375,-38.28125,3,47966,good
1,-8.984375,-38.28125,3,88359,crash
1,-8.984375,-38.28125,3,68428,bad
1,-8.984375,-38.28125,3,77367,good
1,-8.984375,-38.28125,3,74087,good
1,-8.984375,-38.28125,3,11370,good
1,-8.984375,-38.28125,3,45508,good
1,-8.984375,-38.28125,3,14414,good
1,-8.984375,-38.28125,3,76565,good
1,-8.984375,-38.28125,3,47916,good
1,-8.984375,-38.28125,3,59153,bad
1,-8.984375,-38.28125,3,27530,crash
1,-8.984375,-38.28125,3,52714,good
1,-8.984375,-38.28125,3,26054,good
1,-8.984375,-38.28125,3,75293,bad
1,-8.984375,-38.28125,3,2408,good
1,-8.984375,-38.28125,3,49669,crash
1,-8.984375,-38.28125,3,79659,crash
1,-8.984375,-38.28125,3,43085,good
1,-8.984375,-38.28125,3,81,crash
1,-8.984375,-38.28125,3,56830,good
1,-8.984375,-38.28125,3,14642,good
1,-8.984375,-38.28125,3,27975,good
1,-8.984375,-38.28125,3,29060,good
1,-8.984375,-38.28125,3,58198,crash
1,-8.984375,-38.28125,3,35342,good
1,-8.984375,-38.28125,3,42561,crash
1,-8.984375,-38.28125,3,11642,crash
1,-8.984375,-38.28125,3,40260,crash
1,-8.984375,-38.28125,3,82512,good
1,-8.984375,-38.28125,3,37341,good
1,-8.984375,-38.28125,3,13510,good
1,-8.984375,-38.28125,3,67831,crash
1,-8.984375,-38.28125,3,7231,good
1,-8.984375,-38.28125,3,3329,good
1,-8.984375,-38.28125,3,49989,bad
1,-8.984375,-38.28125,3,73458,bad
1,-8.984375,-38.28125,3,56183,crash
1,-8.984375,-38.28125,3,65187,crash
1,-8.984375,-38.28125,3,45362,crash
1,-8.984375,-38.28125,3,32541,good
1,-8.984375,-38.28125,3,74191,good
1,-8.984375,-38.28125,3,8688,good
1,-8.984375,-38.28125,3,55707,good
1,-8.984375,-38.28125,3,84916,crash
1,-8.984375,-38.28125,3,30272,good
1,-8.984375,-38.28125,3,12554,good
1,-8.984375,-38.28125,3,52548,bad
1,-8.984375,-38.28125,3,66831,bad
1,-8.984375,-38.28125,3,48886,good
1,-8.984375,-38.28125,3,73462,good
1,-8.984375,-38.28125,3,48413,bad
1,-8.984375,-38.28125,3,18237,crash
1,-8.984375,-38.28125,3,87492,good
1,-8.984375,-38.28125,3,38050,good
1,-8.984375,-38.28125,3,22422,good
1,-8.984375,-38.28125,3,33937,crash
1,-8.984375,-38.28125,3,3851,good
1,-8.984375,-38.28125,3,6620,good
1,-8.984375,-38.28125,3,22644,crash
1,-8.984375,-38.28125,3,34467,good
1,-8.984375,-38.28125,3,21524,crash
1,-8.984375,-38.28125,3,15764,good
1,-8.984375,-38.28125,3,79503,crash
1,-8.984375,-38.28125,3,19441,good
1,-8.984375,-38.28125,3,1557,crash
1,-8.984375,-38.28125,3,6400,good
1,-8.984375,-38.28125,3,7984,crash
1,-8.984375,-38.28125,3,59040,good
1,-8.984375,-38.28125,3,27342,crash
1,-8.984375,-38.28125,3,50972,good
1,-8.984375,-38.28125,3,38567,crash
1,-8.984375,-38.28125,3,80157,good
1,-8.984375,-38.28125,3,1940,bad
1,-8.984375,-38.28125,3,46470,good
1,-8.984375,-38.28125,3,37357,good
1,-8.984375,-38.28125,3,18435,good
1,-8.984375,-38.28125,3,63035,good
1,-8.984375,-38.28125,3,73654,good
1,-8.984375,-38.28125,3,36403,crash
1,-8.984375,-38.28125,3,17997,good
1,-8.984375,-38.28125,3,11350,good
1,-8.984375,-38.28125,3,72871,bad
1,-8.984375,-38.28125,3,38799,crash
1,-8.984375,-38.28125,3,15458,good
1,-8.984375,-38.28125,3,8598,crash
1,-8.984375,-38.28125,3,55041,bad
1,-8.984375,-38.28125,3,59166,bad
1,-8.984375,-38.28125,3,18681,good
1,-8.984375,-38.28125,3,73653,bad
1,-8.984375,-38.28125,3,50201,bad
1,-8.984375,-38.28125,3,77094,bad
1,-8.984375,-38.28125,3,22162,good
1,-8.984375,-38.28125,3,86926,bad
1,-8.984375,-38.28125,3,35935,good
1,-8.984375,-38.28125,3,78288,good
1,-8.984375,-38.28125,3,79755,crash
1,-8.984375,-38.28125,3,64807,good
1,-8.984375,-38.28125,3,45728,good
1,-8.984375,-38.28125,3,13006,good
1,-8.984375,-38.28125,3,6352,good
1,-8.984375,-38.28125,3,36288,good
1,-8.984375,-38.28125,3,69316,crash
1,-8.984375,-38.28125,3,16823,crash
1,-8.984375,-38.28125,3,22719,good
1,-8.984375,-38.28125,3,82534,bad
1,-8.984375,-38.28125,3,11046,good
1,-8.984375,-38.28125,3,21264,good
1,-8.984375,-38.28125,3,29152,good
1,-8.984375,-38.28125,3,1706,bad
1,-8.984375,-38.28125,3,26594,good
1,-8.984375,-38.28125,3,23050,good
1,-8.984375,-38.28125,3,62081,bad
1,-8.984375,-38.28125,3,59861,bad
1,-8.984375,-38.28125,3,77533,good
1,-8.984375,-38.28125,3,73302,good
1,-8.984375,-38.28125,3,71501,good
1,-8.984375,-38.28125,3,50894,good
1,-8.984375,-38.28125,3,10905,good
1,-8.984375,-38.28125,3,22682,good
1,-8.984375,-38.28125,3,71909,crash
1,-8.984375,-38.28125,3,63185,crash
1,-8.984375,-38.28125,3,77717,good
1,-8.984375,-38.28125,3,34399,good
1,-8.984375,-38.28125,3,70180,good
1,-8.984375,-38.28125,3,8728,good
1,-8.984375,-38.28125,3,85337,crash
1,-8.984375,-38.28125,3,3772,good
1,-8.984375,-38.28125,3,76156,crash
1,-8.984375,-38.28125,3,76712,bad
1,-8.984375,-38.28125,3,57115,bad
1,-8.984375,-38.28125,3,71350,crash
1,-8.984375,-38.28125,3,40470,good
1,-8.984375,-38.28125,3,68616,crash
1,-8.984375,-38.28125,3,69074,crash
1,-8.984375,-38.28125,3,70402,bad
1,-8.984375,-38.28125,3,84098,crash
1,-8.984375,-38.28125,3,8596,crash
1,-8.984375,-38.28125,3,84255,crash
1,-8.984375,-38.28125,3,75219,good
1,-8.984375,-38.28125,3,71061,bad
1,-8.984375,-38.28125,3,39364,good
1,-8.984375,-38.28125,3,8431,crash
1,-8.984375,-38.28125,3,29399,good
1,-8.984375,-38.28125,3,18017,good
1,-8.984375,-38.28125,3,13528,crash
1,-8.984375,-38.28125,3,13058,good
1,-8.984375,-38.28125,3,64444,bad
1,-8.984375,-38.28125,3,59446,bad
1,-8.984375,-38.28125,3,7923,crash
1,-8.984375,-38.28125,3,64254,bad
1,-8.984375,-38.28125,3,83462,bad
1,-8.984375,-38.28125,3,6941,crash
1,-8.984375,-38.28125,3,88971,bad
1,-8.984375,-38.28125,3,79026,good
1,-8.984375,-38.28125,3,3828,crash
1,-8.984375,-38.28125,3,48909,crash
1,-8.984375,-38.28125,3,31935,good
1,-8.984375,-38.28125,3,60116,crash
1,-8.984375,-38.28125,3,30292,good
1,-8.984375,-38.28125,3,48658,good
1,-8.984375,-38.28125,3,75128,good
1,-8.984375,-38.28125,3,81919,bad
1,-8.984375,-38.28125,3,65002,good
1,-8.984375,-38.28125,3,31865,good
1,-8.984375,-38.28125,3,4719,bad
1,-8.984375,-38.28125,3,81586,bad
1,-8.984375,-38.28125,3,78245,crash
1,-8.984375,-38.28125,3,11093,good
1,-8.984375,-38.28125,3,80384,good
1,-8.984375,-38.28125,3,6149,good
1,-8.984375,-38.28125,3,88875,bad
1,-8.984375,-38.28125,3,53709,bad
1,-8.984375,-38.28125,3,53304,good
1,-8.984375,-38.28125,3,77144,bad
1,-8.984375,-38.28125,3,9040,good
1,-8.984375,-38.28125,3,10583,good
1,-8.984375,-38.28125,3,24785,good
1,-8.984375,-38.28125,3,4471,good
1,-8.984375,-38.28125,3,79707,good
1,-8.984375,-38.28125,3,23766,good
1,-8.984375,-38.28125,3,11065,good
1,-8.984375,-38.28125,3,8504,good
1,-8.984375,-38.28125,3,3915,crash
1,-8.984375,-38.28125,3,46504,good
1,-8.984375,-38.28125,3,81868,bad
1,-8.984375,-38.28125,3,61636,bad
1,-8.984375,-38.28125,3,71699,bad
1,-8.984375,-38.28125,3,70199,bad
1,-8.984375,-38.28125,3,62211,good
1,-8.984375,-38.28125,3,3405,good
1,-8.984375,-38.28125,3,9872,crash
1,-8.984375,-38.28125,3,43756,crash
1,-8.984375,-38.28125,3,11089,good
1,-8.984375,-38.28125,3,42137,good
1,-8.984375,-38.28125,3,1124,crash
1,-8.984375,-38.28125,3,60798,good
1,-8.984375,-38.28125,3,58872,good
1,-8.984375,-38.28125,3,77365,good
1,-8.984375,-38.28125,3,19475,good
1,-8.984375,-38.28125,3,50606,good
1,-8.984375,-38.28125,3,62684,good
1,-8.984375,-38.28125,3,18076,good
1,-8.984375,-38.28125,3,13925,good
1,-8.984375,-38.28125,3,45714,crash
1,-8.984375,-38.28125,3,87981,bad
1,-8.984375,-38.28125,3,30320,crash
1,-8.984375,-38.28125,3,59177,bad
1,-8.984375,-38.28125,3,16961,good
1,-8.984375,-38.28125,3,25188,good
1,-8.984375,-38.28125,3,28988,crash
1,-8.984375,-38.28125,3,14258,good
1,-8.984375,-38.28125,3,14498,good
1,-8.984375,-38.28125,3,6912,good
1,-8.984375,-38.28125,3,15741,crash
1,-8.984375,-38.28125,3,9783,crash
1,-8.984375,-38.28125,3,84584,good
1,-8.984375,-38.28125,3,10821,good
1,-8.984375,-38.28125,3,48815,bad
1,-8.984375,-38.28125,3,13582,good
1,-8.984375,-38.28125,3,3075,good
1,-8.984375,-38.28125,3,61278,crash
1,-8.984375,-38.28125,3,82124,bad
1,-8.984375,-38.28125,3,68422,bad
1,-8.984375,-38.28125,3,26304,crash
1,-8.984375,-38.28125,3,48430,bad
1,-8.984375,-38.28125,3,83194,bad
1,-8.984375,-38.28125,3,10635,crash
1,-8.984375,-38.28125,3,30954,good
1,-8.984375,-38.28125,3,718,good
1,-8.984375,-38.28125,3,33603,good
1,-8.984375,-38.28125,3,67873,good
1,-8.984375,-38.28125,3,89494,good
1,-8.984375,-38.28125,3,25869,good
1,-8.984375,-38.28125,3,2030,good
1,-8.984375,-38.28125,3,57575,good
1,-8.984375,-38.28125,3,33196,good
1,-8.984375,-38.28125,3,80053,good
1,-8.984375,-38.28125,3,2915,bad
1,-8.984375,-38.28125,3,13534,crash
1,-8.984375,-38.28125,3,68085,good
1,-8.984375,-38.28125,3,54678,crash
1,-8.984375,-38.28125,3,7577,good
1,-8.984375,-38.28125,3,32931,crash
1,-8.984375,-38.28125,3,62335,bad
1,-8.984375,-38.28125,3,41301,bad
1,-8.984375,-38.28125,3,79332,good
