[isogeny,scope.glitch.width,scope.glitch.offset,scope.glitch.repeat,scope.glitch.ext_offset,good/bad/crash]
1,-8.984375,-38.28125,3,29715,good
1,-8.984375,-38.28125,3,48551,good
1,-8.984375,-38.28125,3,49201,good
1,-8.984375,-38.28125,3,16559,good
1,-8.984375,-38.28125,3,25313,good
1,-8.984375,-38.28125,3,5739,good
1,-8.984375,-38.28125,3,11166,good
1,-8.984375,-38.28125,3,17937,crash
1,-8.984375,-38.28125,3,32433,good
1,-8.984375,-38.28125,3,66370,crash
1,-8.984375,-38.28125,3,27447,crash
1,-8.984375,-38.28125,3,52522,crash
1,-8.984375,-38.28125,3,84131,good
1,-8.984375,-38.28125,3,3971,good
1,-8.984375,-38.28125,3,60180,crash
1,-8.984375,-38.28125,3,63885,crash
1,-8.984375,-38.28125,3,59393,crash
1,-8.984375,-38.28125,3,51181,crash
1,-8.984375,-38.28125,3,64879,crash
1,-8.984375,-38.28125,3,75121,crash
1,-8.984375,-38.28125,3,25197,crash
1,-8.984375,-38.28125,3,52781,crash
1,-8.984375,-38.28125,3,11740,good
1,-8.984375,-38.28125,3,63583,good
1,-8.984375,-38.28125,3,30695,good
1,-8.984375,-38.28125,3,2621,good
1,-8.984375,-38.28125,3,34966,good
1,-8.984375,-38.28125,3,68181,good
1,-8.984375,-38.28125,3,53434,crash
1,-8.984375,-38.28125,3,62171,good
1,-8.984375,-38.28125,3,49687,good
1,-8.984375,-38.28125,3,14907,good
1,-8.984375,-38.28125,3,86896,good
1,-8.984375,-38.28125,3,33864,crash
1,-8.984375,-38.28125,3,12736,good
1,-8.984375,-38.28125,3,8270,good
1,-8.984375,-38.28125,3,50643,good
1,-8.984375,-38.28125,3,81287,crash
1,-8.984375,-38.28125,3,49442,good
1,-8.984375,-38.28125,3,14121,good
1,-8.984375,-38.28125,3,86619,bad
1,-8.984375,-38.28125,3,7610,good
1,-8.984375,-38.28125,3,44360,crash
1,-8.984375,-38.28125,3,30726,good
1,-8.984375,-38.28125,3,11280,crash
1,-8.984375,-38.28125,3,65219,good
1,-8.984375,-38.28125,3,85161,good
1,-8.984375,-38.28125,3,67740,crash
1,-8.984375,-38.28125,3,27253,good
1,-8.984375,-38.28125,3,76224,crash
1,-8.984375,-38.28125,3,18631,crash
1,-8.984375,-38.28125,3,79524,crash
1,-8.984375,-38.28125,3,8438,crash
1,-8.984375,-38.28125,3,70742,good
1,-8.984375,-38.28125,3,4911,good
1,-8.984375,-38.28125,3,64051,crash
1,-8.984375,-38.28125,3,25409,crash
1,-8.984375,-38.28125,3,19426,good
1,-8.984375,-38.28125,3,75886,crash
1,-8.984375,-38.28125,3,59804,crash
1,-8.984375,-38.28125,3,76595,good
1,-8.984375,-38.28125,3,58345,good
1,-8.984375,-38.28125,3,37442,crash
1,-8.984375,-38.28125,3,73050,good
1,-8.984375,-38.28125,3,46753,crash
1,-8.984375,-38.28125,3,55853,crash
1,-8.984375,-38.28125,3,17692,crash
1,-8.984375,-38.28125,3,20749,good
1,-8.984375,-38.28125,3,78816,good
1,-8.984375,-38.28125,3,12795,good
1,-8.984375,-38.28125,3,69706,good
1,-8.984375,-38.28125,3,41129,good
1,-8.984375,-38.28125,3,46797,crash
1,-8.984375,-38.28125,3,84399,crash
1,-8.984375,-38.28125,3,64833,good
1,-8.984375,-38.28125,3,66011,crash
1,-8.984375,-38.28125,3,81788,crash
1,-8.984375,-38.28125,3,25907,crash
1,-8.984375,-38.28125,3,40474,good
1,-8.984375,-38.28125,3,19682,good
1,-8.984375,-38.28125,3,46628,good
1,-8.984375,-38.28125,3,69301,good
1,-8.984375,-38.28125,3,37271,good
1,-8.984375,-38.28125,3,66820,good
1,-8.984375,-38.28125,3,86122,bad
1,-8.984375,-38.28125,3,9362,good
1,-8.984375,-38.28125,3,66509,crash
1,-8.984375,-38.28125,3,71426,good
1,-8.984375,-38.28125,3,28830,crash
1,-8.984375,-38.28125,3,45116,good
1,-8.984375,-38.28125,3,31967,crash
1,-8.984375,-38.28125,3,1562,good
1,-8.984375,-38.28125,3,38759,crash
1,-8.984375,-38.28125,3,44989,good
1,-8.984375,-38.28125,3,28809,good
1,-8.984375,-38.28125,3,34976,crash
1,-8.984375,-38.28125,3,4412,bad
1,-8.984375,-38.28125,3,55497,good
1,-8.984375,-38.28125,3,33394,crash
1,-8.984375,-38.28125,3,49405,good
1,-8.984375,-38.28125,3,39106,good
1,-8.984375,-38.28125,3,54647,good
1,-8.984375,-38.28125,3,22971,good
1,-8.984375,-38.28125,3,86173,crash
1,-8.984375,-38.28125,3,51940,good
1,-8.984375,-38.28125,3,15239,good
1,-8.984375,-38.28125,3,21782,good
1,-8.984375,-38.28125,3,86924,bad
1,-8.984375,-38.28125,3,3360,good
1,-8.984375,-38.28125,3,26452,good
1,-8.984375,-38.28125,3,21061,good
1,-8.984375,-38.28125,3,39328,crash
1,-8.984375,-38.28125,3,15268,good
1,-8.984375,-38.28125,3,1733,good
1,-8.984375,-38.28125,3,49867,crash
1,-8.984375,-38.28125,3,44803,good
1,-8.984375,-38.28125,3,22303,good
1,-8.984375,-38.28125,3,74597,good
1,-8.984375,-38.28125,3,57096,crash
1,-8.984375,-38.28125,3,30372,good
1,-8.984375,-38.28125,3,18225,good
1,-8.984375,-38.28125,3,53753,crash
