[isogeny,scope.glitch.width,scope.glitch.offset,scope.glitch.repeat,scope.glitch.ext_offset,good/bad/crash]
1,-8.984375,-38.28125,3,60688,good
1,-8.984375,-38.28125,3,80376,crash
1,-8.984375,-38.28125,3,48931,good
1,-8.984375,-38.28125,3,35014,crash
1,-8.984375,-38.28125,3,18159,good
1,-8.984375,-38.28125,3,24399,good
1,-8.984375,-38.28125,3,88690,good
1,-8.984375,-38.28125,3,844,good
1,-8.984375,-38.28125,3,44346,good
1,-8.984375,-38.28125,3,65901,good
1,-8.984375,-38.28125,3,60781,crash
1,-8.984375,-38.28125,3,79260,good
1,-8.984375,-38.28125,3,10593,good
1,-8.984375,-38.28125,3,43782,crash
1,-8.984375,-38.28125,3,72650,good
1,-8.984375,-38.28125,3,80826,good
1,-8.984375,-38.28125,3,5361,crash
1,-8.984375,-38.28125,3,49679,good
1,-8.984375,-38.28125,3,22206,good
1,-8.984375,-38.28125,3,59248,crash
1,-8.984375,-38.28125,3,55390,crash
1,-8.984375,-38.28125,3,20599,crash
1,-8.984375,-38.28125,3,22077,crash
1,-8.984375,-38.28125,3,31197,good
1,-8.984375,-38.28125,3,6729,good
1,-8.984375,-38.28125,3,14543,good
1,-8.984375,-38.28125,3,17358,good
1,-8.984375,-38.28125,3,66358,good
1,-8.984375,-38.28125,3,77389,good
1,-8.984375,-38.28125,3,8301,good
1,-8.984375,-38.28125,3,50288,crash
1,-8.984375,-38.28125,3,13327,good
1,-8.984375,-38.28125,3,38166,crash
1,-8.984375,-38.28125,3,26865,good
1,-8.984375,-38.28125,3,88374,crash
1,-8.984375,-38.28125,3,29400,good
1,-8.984375,-38.28125,3,55281,good
1,-8.984375,-38.28125,3,11497,good
1,-8.984375,-38.28125,3,34962,good
1,-8.984375,-38.28125,3,27511,good
1,-8.984375,-38.28125,3,51976,good
1,-8.984375,-38.28125,3,36856,crash
1,-8.984375,-38.28125,3,44783,good
1,-8.984375,-38.28125,3,5662,good
1,-8.984375,-38.28125,3,26147,crash
1,-8.984375,-38.28125,3,691,good
1,-8.984375,-38.28125,3,53896,crash
1,-8.984375,-38.28125,3,7182,good
1,-8.984375,-38.28125,3,49653,good
1,-8.984375,-38.28125,3,64450,good
1,-8.984375,-38.28125,3,18238,crash
1,-8.984375,-38.28125,3,3078,good
1,-8.984375,-38.28125,3,31030,good
1,-8.984375,-38.28125,3,55670,good
1,-8.984375,-38.28125,3,14687,good
1,-8.984375,-38.28125,3,78230,good
1,-8.984375,-38.28125,3,508,crash
1,-8.984375,-38.28125,3,15891,good
1,-8.984375,-38.28125,3,75852,good
1,-8.984375,-38.28125,3,25910,good
1,-8.984375,-38.28125,3,26615,good
1,-8.984375,-38.28125,3,43283,crash
1,-8.984375,-38.28125,3,1082,good
1,-8.984375,-38.28125,3,10945,good
1,-8.984375,-38.28125,3,17457,good
1,-8.984375,-38.28125,3,70749,good
1,-8.984375,-38.28125,3,2290,good
1,-8.984375,-38.28125,3,65642,good
1,-8.984375,-38.28125,3,11120,good
1,-8.984375,-38.28125,3,75102,good
1,-8.984375,-38.28125,3,65109,good
1,-8.984375,-38.28125,3,70463,good
1,-8.984375,-38.28125,3,25976,good
1,-8.984375,-38.28125,3,55065,crash
1,-8.984375,-38.28125,3,9021,good
1,-8.984375,-38.28125,3,52185,good
1,-8.984375,-38.28125,3,25188,good
1,-8.984375,-38.28125,3,83718,good
1,-8.984375,-38.28125,3,12245,good
1,-8.984375,-38.28125,3,75996,good
1,-8.984375,-38.28125,3,19053,crash
1,-8.984375,-38.28125,3,22618,good
1,-8.984375,-38.28125,3,79809,bad
1,-8.984375,-38.28125,3,5401,good
1,-8.984375,-38.28125,3,7101,good
1,-8.984375,-38.28125,3,35389,crash
1,-8.984375,-38.28125,3,72753,good
1,-8.984375,-38.28125,3,89552,crash
1,-8.984375,-38.28125,3,79480,bad
1,-8.984375,-38.28125,3,19570,good
1,-8.984375,-38.28125,3,35169,good
1,-8.984375,-38.28125,3,75404,good
1,-8.984375,-38.28125,3,4488,crash
1,-8.984375,-38.28125,3,15904,crash
1,-8.984375,-38.28125,3,52740,crash
1,-8.984375,-38.28125,3,31037,good
1,-8.984375,-38.28125,3,21200,crash
1,-8.984375,-38.28125,3,80102,bad
1,-8.984375,-38.28125,3,66180,good
1,-8.984375,-38.28125,3,5641,good
1,-8.984375,-38.28125,3,47966,crash
1,-8.984375,-38.28125,3,88359,crash
1,-8.984375,-38.28125,3,68428,good
1,-8.984375,-38.28125,3,77367,good
1,-8.984375,-38.28125,3,74087,good
1,-8.984375,-38.28125,3,11370,good
1,-8.984375,-38.28125,3,45508,good
1,-8.984375,-38.28125,3,14414,crash
1,-8.984375,-38.28125,3,76565,crash
1,-8.984375,-38.28125,3,47916,good
1,-8.984375,-38.28125,3,59153,crash
1,-8.984375,-38.28125,3,27530,good
